title,company,description,date,location,skills,link
Data Scientist | DSI,africawork,"Le Data Scientist  a pour mission de collecter, d'analyser et d'interpréter les données pour générer des insights exploitables et des solutions informatiques pertinentes. En collaborant avec différentes équipes, il contribue à améliorer les systèmes, optimiser les performances et élaborer des stratégies basées sur les données pour soutenir les objectifs de l'entreprise. Il supervise également les tableaux de bord et les alertes issus des données. Missions : Collecter, nettoyer et préparer les données pour l'analyse ; Utiliser des techniques avancées d'analyse de données pour découvrir des tendances, des modèles et des informations exploitables ; Développer des modèles prédictifs et des...",2024-06-13,Abidjan,"['BI', 'POSTGRESQL', 'PYTHON', 'SQL']",https://www.emploi.ci/offre-emploi-cote-ivoire/data-scientist-dsi-1432013
AWS Solutions Architect (M/F),africashore,"We are looking for  AWS Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Design a robust, secure and optimized AWS architecture to implement large scale enterprise data solutions and applications. Develop and deliver AWS Cloud solutions in areas such as AIML, advanced analytics, microservices, serverless, etc. Build highly scalable, Cloud-native applications on AWS platform using services like API Gateway, Lambda, SQS, DynamoDB and ECS. Implement and manage KuberNetes environments. Ensure configuration and compliance with configuration management tools. Administer and troubleshoot Linux based...",2024-02-13,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,"['API', 'BIG DATA', 'CENTOS', 'CVS', 'DMS', 'DNS', 'DOCKER', 'HADOOP', 'HTTP', 'LINUX', 'RDS', 'SPARK', 'TALEND']",https://www.emploi.ci/offre-emploi-cote-ivoire/aws-solutions-architect-mf-1386360
JAVA JEE Developer (M/F),africashore,"We are looking for JAVA JEE Developer profiles / CVs to pass on to our clients for their future recruitment campaigns.   Mission:   Good exposure to Core Java, MySQL server as DB. Maintain source code control of all application code, scripts, and database definition language. Design, Develop, Implement and/or Manage project. Responsible for development, focusing on designs, coding, testing, quality assurance of complex product features in a development team. Show initiative and drive topics to resolution in a high level of quality, speed, reliability and efficiency considering the essential non-functional requirements. Analyzing clients' requirements and produce technical proposals,...",2024-02-13,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,"['AGILE', 'ANGULAR JS', 'AZURE', 'BIG DATA', 'CASSANDRA', 'COUCHBASE', 'CSS', 'CVS', 'DOCKER', 'GIT', 'HADOOP', 'HIBERNATE', 'HTML', 'J2EE', 'JAVA', 'JAVA JEE', 'JAVASCRIPT', 'JBOSS', 'JENKINS', 'MAVEN', 'MVC', 'MYSQL', 'NOSQL', 'ORACLE', 'REDIS', 'REST', 'SOAP', 'SPARK', 'SPRING', 'SQL', 'STRUTS', 'WEBLOGIC']",https://www.emploi.ci/offre-emploi-cote-ivoire/java-jee-developer-mf-1386344
Stagiaire Supply Chain Compliance - Abidjan,endeavour mining,"Purpose & objective Endeavour Mining is one of the largest gold producers in the world and the largest in West Africa, with mines, a significant portfolio of exploration projects and a workforce of around 6,000. The company has grown very rapidly in terms of size and scale over the last two years.",2024-06-14,Abidjan,['Abidjan'],https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-supply-chain-compliance-abidjan-1435262
Procurement Superintendent,endeavour mining,"Reporting to the Supply Chain Manager, this position is responsible for monitoring, expediting and controlling all the Open POs and Open Requisitions in the system. The data from EAM to be used for the monthly projection of future Receipts, Expediting, Conversion time of Requisitions to PO, aging analysis of Open POs and requisitions, the update of EAM data, Supplier Performances, and the publishing of the monthly report. The position will require significant communication and coordination with Operations, Maintenance, Procurement Team, Warehousing, Inventory Control, and Finance. The Superintendent is responsible for continually working to improve internal customer service while reducing the Total Cost of Ownership (TCO) of...",2024-05-31,Man,"['TRANSPORT', 'WAREHOUSE']",https://www.emploi.ci/offre-emploi-cote-ivoire/procurement-superintendent-1426904
Process Shift Supervisor,endeavour mining,"Optimize plant throughput to achieve plant production targets (as designated), while ensuring health, safety environmental and community relations standards are set and maintained. Ensure adherence to statutory requirements as a minimum standard. Responsibilities : Efficient operation of the plant Maximise production and productivity i.e. throughput rate & Au recovery Identify and take advantage of opportunities to ensure that the day-to-day production objectives and schedules are achieved in accordance with metallurgical guidelines and established grade controls and recovery rates. Ensure that the day-to-day production and administrative reports, data and records are correctly complied and submitted. Ensure...",2024-05-21,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,"['MAINTENANCE', 'PROCESS', 'PROCESSING', 'PRODUCTION', 'QUALITÉ']",https://www.emploi.ci/offre-emploi-cote-ivoire/process-shift-supervisor-1319867
Compensation & Benefits Senior Analyst,endeavour mining,"The Compensation and Benefits Senior Analyst WA is accountable for providing support to HR team in WA region for benchmarking and compensation and benefits analysis and will drive any programme implementation; he/she will also support the VP Employee Services in all projects for WA region. Responsibilities: Support local grid design structure in collaboration with HRM Design/improve benchmarking process for nationals Extend external benchmark references Drive annual survey feed for WA Prepare benchmarks on demand Support change management in compensation approach to market our package offer Drive benefits in WA (medical insurance, pension, life insurance) – benchmark and market EDV benefit.; follow up...",2024-05-11,Abidjan,"['COMPTABILITÉ', 'FINANCE', 'GESTION']",https://www.emploi.ci/offre-emploi-cote-ivoire/compensation-benefits-senior-analyst-1419131
IT Coordinator,endeavour mining,"Under the supervision of the Finance Manager and the Group IT Infrastructure Manager, the IT Coordinator is responsible for the management of Operations IT assets, as well as leading the provision of resilient services, including email, network, and customer-centric service delivery. The incumbent heads the daily IT Operations and Service Section and drives a team of operations, service support, network, systems, and other technology staff. Apart from the in-depth technical knowledge and expertise required to be successful in this role, a level of business understanding is required to ensure that IT systems, solutions, and services within the area of responsibility meet business requirements and add value. The role is also...",2024-05-18,Katiola,"['ITIL', 'MICROSOFT']",https://www.emploi.ci/offre-emploi-cote-ivoire/it-coordinator-1421885
IT Supervisor,endeavour mining,"The role of the IT Supervisor is to implement and support IT/IS systems and services within an area of responsibility, in accordance with the guidelines and procedures provided by the IT Coordinator IT/IS knowledge and skills in systems and services specific to the area of responsibility would be required to be able to carry out the role successfully.  Customer relationships and customer satisfaction through support and service would be important. The incumbent would also need to be able to analyse and resolve day-to-day system and user problems. Apart from the IT/IS knowledge, therefore, key competencies required to perform the role would include business insight, problem solving, knowledge sharing and customer and...",2024-05-18,Katiola,"['AZURE', 'ITIL', 'MICROSOFT']",https://www.emploi.ci/offre-emploi-cote-ivoire/it-supervisor-1421889
Cloud Architect (M/F),africashore,"We are looking for  Cloud Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Lead analysis, recommendations, and presentation of approaches on Cloud migration roadmaps, architecture / designs etc. Involve in conducting Azure readiness assessments and evaluations and delivery of assessment reports, architecture/design/ deployment documents & presentations. Architecting Cloud solutions for new applications. Design Cloud architectures, environments, and solutions that meet the business requirements with an emphasis on meeting the overall business goals. Design highly available, scalable and secure solutions using...",2024-02-13,Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...,"['AGILE', 'API', 'ARM', 'AZURE', 'C#', 'COSMOS', 'CVS', 'LESS', 'NOSQL', 'PAAS', 'SQL', 'VM']",https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-architect-mf-1386362
